Rank,Name,School,Position,PFF,Draft Network,The Athletic,CBS,ESPN,Bleacher Report,Tankathon,Underdog,PFN,The Ringer
1,"Fernando Mendoza","Indiana",QB,1,1,2,1,2,4,4,1,4,1
2,"Arvell Reese","Ohio State",EDGE,2,2,1,3,5,6,1,2,1,2
3,"Caleb Downs","Ohio State",S,8,3,4,7,3,1,2,10,2,3
4,"Rueben Bain Jr.","Miami (FL)",EDGE,5,4,9,2,4,2,3,5,9,5
5,"Jeremiyah Love","Notre Dame",RB,3,5,3,16,1,3,8,11,5,6
6,"Sonny Styles","Ohio State",LB,4,10,5,10,6,14,6,3,3,12
7,"David Bailey","Texas Tech",EDGE,6,14,6,19,7,8,5,9,10,4
8,"Carnell Tate","Ohio State",WR,10,12,10,8,10,11,10,4,7,7
9,"Spencer Fano","Utah",OT,12,6,8,5,21,13,9,6,11,9
10,"Francis Mauigoa","Miami (FL)",OT,7,9,11,20,8,15,7,8,17,8
11,"Mansoor Delane","LSU",CB,9,16,7,12,11,5,11,19,14,15
12,"Makai Lemon","USC",WR,15,29,14,18,9,12,12,7,8,10
13,"Jordyn Tyson","Arizona State",WR,20,8,12,6,15,9,15,27,6,22
14,"Jermod McCoy","Tennessee",CB,17,25,16,9,12,7,17,21,15,24
15,"Olaivavega Ioane","Penn State",IOL,16,35,13,15,14,20,13,12,22,11
16,"Kenyon Sadiq","Oregon",TE,14,11,20,29,13,16,14,23,16,16
17,"Peter Woods","Clemson",DL,30,7,33,13,18,10,24,34,12,14
18,"Avieon Terrell","Clemson",CB,24,19,18,11,24,18,22,24,18,18
19,"Akheem Mesidor","Miami (FL)",DL,21,17,19,26,30,30,25,15,29,13
20,"Kadyn Proctor","Alabama",OT,33,15,17,4,40,39,20,14,30,30
21,"KC Concepcion","Texas A&M",WR,34,23,22,31,32,17,27,16,26,17
22,"Keldric Faulk","Auburn",EDGE,23,38,15,27,27,21,18,47,20,21
23,"Denzel Boston","Washington",WR,31,24,25,34,22,32,19,29,39,20
24,"CJ Allen","Georgia",LB,19,18,32,38,19,33,28,26,27,38
25,"Cashius Howell","Texas A&M",EDGE,26,13,29,24,28,22,30,36,45,27
26,"Monroe Freeling","Georgia",OT,13,26,21,52,25,61,16,13,40,23
27,"Caleb Banks","Florida",DL,18,33,24,46,26,49,23,18,19,37
28,"Caleb Lomu","Utah",OT,38,47,30,14,23,52,26,28,13,25
29,"Dillon Thieneman","Oregon",S,11,83,23,35,16,27,21,17,44,19
30,"Kayden McDonald","Ohio State",DL,28,98,26,25,36,25,34,30,21,31
31,"Ty Simpson","Alabama",QB,42,22,34,33,39,28,31,45,41,41
32,"Emmanuel McNeil-Warren","Toledo",S,22,97,31,28,20,19,32,42,37,29
33,"Lee Hunter","Texas Tech",DL,39,36,60,21,35,36,40,32,33,39
34,"T.J. Parker","Clemson",EDGE,29,96,36,49,37,23,29,25,31,34
35,"Omar Cooper Jr.","Indiana",WR,27,100,27,17,17,60,33,37,46,28
36,"Colton Hood","Tennessee",CB,32,99,28,37,34,66,35,20,24,32
37,"Max Iheanachor","Arizona State",OT,35,21,44,23,46,119,38,31,32,42
38,"Chris Johnson","San Diego State",CB,46,44,38,43,,63,43,33,38,
39,"R Mason Thomas","Oklahoma",DL,47,50,35,41,42,51,41,50,43,36
40,"Blake Miller","Clemson",OT,25,102,42,22,31,88,36,22,34,43
