Rnd,Pick,Tm,Name,Pos,Age,APs,PBs,YrsStart,PlAV,TmAV,GP,RusAtt,RusYds,RusTDs,RecRec,RecYds,RecTDs,Ht,Wt,40Yd,Vert,Bnch,BdJmp,3Cn,Shut
1,4,ATL,Kyle Pitts,TE,20.0,0,1,5,28.0,28.0,78.0,1.0,-4.0,0.0,284.0,3579.0,15.0,77.0,245.0,4.44,33.5,22.0,129.0,7.12,4.3
2,55,PIT,Pat Freiermuth,TE,22.0,0,0,2,22.0,22.0,78.0,0.0,0.0,0.0,261.0,2676.0,22.0,77.0,251.0,,,26.0,,,
3,81,MIA,Hunter Long,TE,23.0,0,0,0,2.0,0.0,46.0,0.0,0.0,0.0,20.0,153.0,2.0,,,,,,,,
3,83,CAR,Tommy Tremble,TE,21.0,0,0,2,7.0,7.0,78.0,3.0,11.0,1.0,112.0,1031.0,11.0,75.0,241.0,4.6,36.5,20.0,122.0,,
3,97,LAC,Tre' McKitty,TE,22.0,0,0,0,1.0,1.0,34.0,0.0,0.0,0.0,16.0,117.0,0.0,76.0,247.0,,,,,,
4,124,WAS,John Bates,TE,23.0,0,0,1,6.0,6.0,82.0,0.0,0.0,0.0,72.0,695.0,3.0,77.0,250.0,4.84,31.5,19.0,120.0,6.85,4.35
4,127,IND,Kylen Granson,TE,23.0,0,0,0,8.0,8.0,79.0,2.0,2.0,0.0,93.0,998.0,1.0,,,,,,,,
5,145,JAX,Luke Farrell,TE,23.0,0,0,0,3.0,2.0,83.0,0.0,0.0,0.0,47.0,403.0,2.0,77.0,251.0,4.79,36.5,22.0,118.0,7.14,4.36
5,147,HOU,Brevin Jordan,TE,21.0,0,0,0,4.0,4.0,36.0,0.0,0.0,0.0,53.0,532.0,5.0,74.0,247.0,4.64,31.0,17.0,116.0,,
5,162,KAN,Noah Gray,TE,22.0,0,0,2,11.0,11.0,83.0,3.0,-2.0,1.0,124.0,1255.0,9.0,75.0,240.0,4.55,35.0,15.0,115.0,6.83,4.37
5,168,MIN,Zach Davidson,TE,23.0,0,0,0,0.0,,3.0,0.0,0.0,0.0,1.0,5.0,0.0,78.0,245.0,4.58,37.5,17.0,117.0,6.95,4.19
