Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Adam Krumholz,WR,Wisconsin,"6'0""",193,,,,4.6,,35.5,"9'10""",11,7.03,4.28
Adrian Hardy,WR,Louisiana Tech,"6'1""",205,,,,4.61,,37.5,"10'4""",12,6.96,4.5
Amari Rodgers,WR,Clemson,"5'9""",212,,,,4.52,,33,"10'1""",19,7.07,4.31
Amon-Ra St. Brown,WR,USC,"5'11""",197,,,,4.51,,38.5,"10'7""",20,6.88,4.17
Anthony Schwartz,WR,Auburn,"6'0""",186,,,,4.27,,32,"10'3""",,7.13,4.25
Antonio Nunn,WR,Buffalo,"5'11""",204,,,,4.5,,33.5,"10'0""",15,7.12,4.32
Artayvious Lynn,TE,TCU,"6'4""",271,,,,,,,,,,
Asim Rose,RB,Kentucky,"6'1""",215,,,,4.51,,34,"10'0""",24,7.25,4.62
Bailey Gaither,WR,San Jose St.,"6'0""",188,,,,4.45,,31,"10'1""",9,7.07,4.39
Ben Mason,TE,Michigan,"6'2""",246,,,,4.73,,37.5,"9'9""",29,6.96,4.42
Ben Skowronek,WR,Notre Dame,"6'2""",220,,,,,,,,13,,
Blake Proehl,WR,East Carolina,"6'1""",186,,,,4.47,,36,"10'6""",12,7,4.06
Brady Davis,QB,Memphis,,,,,,4.65,,31,"9'6""",,7.06,4.2
Brady White,QB,Memphis,"6'1""",210,,,,4.84,,29,,,6.97,4.33
Branden Mack,WR,Temple,"6'5""",217,,,,4.66,,31,"9'7""",11,7.13,4.37
Brandon Smith,WR,Iowa,"6'1""",218,,,,4.62,,39.5,"10'10""",,,
Brenden Knox,RB,Marshall,"5'10""",215,,,,4.67,,35,"9'4""",23,7.19,4.39
Brennan Eagles,WR,Texas,"6'3""",225,,,,4.55,,36.5,"10'5""",,6.93,4.42
Brevin Jordan,TE,Miami (FL),"6'2""",247,,,,4.64,,31,"9'8""",17,,
Briley Moore,TE,Kansas St.,"6'4""",240,,,,4.66,,37.5,"10'3""",26,7.24,4.37
Brock Wright,TE,Notre Dame,"6'4""",257,,,,4.62,,31.5,"9'10""",26,7.27,4.25
Bruno Labelle,TE,Cincinnati,"6'4""",247,,,,4.73,,36,"10'3""",19,7.36,4.43
Bryson Denley,RB,Bowling Green,"5'7""",189,,,,4.56,,27.5,"9'2""",13,7.25,4.57
Carl Tucker,TE,Alabama,,,,,,,,,,,,
Chris Evans,RB,Michigan,"5'11""",211,,,,4.5,,40.5,"10'7""",20,6.83,4.12
Chuba Hubbard,RB,Oklahoma St.,"6'0""",210,,,,4.48,,36,"10'0""",20,7.24,4.26
CJ Marable,RB,Coastal Carolina,"5'6""",195,,,,4.59,,36,"9'8""",17,7.25,4.39
Connor Wedington,WR,Stanford,"6'0""",196,,,,4.47,,38.5,"9'9""",13,6.66,4.07
Corey Dauphine,RB,Tulane,"5'11""",198,,,,4.71,,30,"9'9""",14,7.4,4.53
Cornell Powell,WR,Clemson,"6'0""",204,,,,4.53,,36.5,"10'8""",16,7.03,4.21
D'Wayne Eskridge,WR,West. Michigan,"5'8""",190,,,,4.38,,35,"10'4""",,6.93,4.22
Damon Hazelton,WR,Missouri,,,,,,4.6,,37.5,,,,
Damonte Coxie,WR,Memphis,"6'2""",198,,,,4.77,,30.5,"10'2""",4,6.92,4.45
Daniel Crawford,TE,Northern Illinois,"6'1""",245,,,,4.7,,32.5,"9'5""",14,7.19,4.45
David Moore,QB,Central Michigan,"6'0""",200,,,,4.86,,29.5,"9'4""",,7.62,4.75
Davis Mills,QB,Stanford,"6'3""",217,,,,4.82,,32,"9'2""",,6.95,4.4
Dax Milne,WR,BYU,,,,,,4.54,,31,"9'6""",14,,4.19
Dazz Newsome,WR,North Carolina,"5'10""",190,,,,4.59,,34,"10'1""",12,7.38,4.38
Dedrick Mills,RB,Nebraska,"5'9""",217,,,,4.65,,32.5,"9'9""",13,7.06,4.35
Demetric Felton,RB,UCLA,"5'8""",189,,,,4.55,,,,,,
Deon Jackson,RB,Duke,"5'11""",218,,,,4.41,,36,"10'3""",18,7.15,4.37
DeVontres Dukes,WR,South Florida,"6'3""",216,,,,4.81,,33,"10'2""",16,7.07,4.41
Dez Fitzpatrick,WR,Louisville,"6'1""",208,,,,4.43,,35,,,7.09,4.26
Dillon Stoner,WR,Oklahoma St.,"6'0""",194,,,,4.51,,37,"10'3""",16,6.96,4.13
Dyami Brown,WR,North Carolina,"6'0""",189,,,,4.46,,35,"10'8""",18,6.87,4.35
Eli Stove,WR,Auburn,"5'11""",194,,,,4.54,,30.5,"9'11""",14,7.34,4.4
Elijah Mitchell,RB,Louisiana,"5'10""",201,,,,4.38,,37.5,"10'8""",17,6.94,4.19
Elijah Moore,WR,Mississippi,,,,,,4.35,,36,"10'1""",17,6.63,4.07
Feleipe Franks,QB,Arkansas,"6'6""",234,,,,4.61,,32.5,"9'9""",,7.16,4.22
